,country name,code
163,Northern Mariana Islands,MNP
164,Norway,NOR
165,Oman,OMN
166,Pakistan,PAK
167,Palau,PLW
168,"Palestinian Territory, Occupied",PSE
169,Panama,PAN
170,Papua New Guinea,PNG
171,Paraguay,PRY
172,Peru,PER
173,Philippines,PHL
174,Pitcairn,PCN
175,Poland,POL
176,Portugal,PRT
177,Puerto Rico,PRI
178,Qatar,QAT
179,Réunion,REU
180,Romania,ROU
181,Russia,RUS
182,Rwanda,RWA
183,Saint Barthélemy,BLM
184,"Saint Helena, Ascension and Tristan da Cunha",SHN
185,Saint Kitts and Nevis,KNA
186,Saint Lucia,LCA
187,Saint Martin (French part),MAF
188,Saint Pierre and Miquelon,SPM
189,Saint Vincent and the Grenadines,VCT
190,Samoa,WSM
191,San Marino,SMR
192,Sao Tome and Principe,STP
193,Saudi Arabia,SAU
194,Senegal,SEN
195,Serbia,SRB
196,Seychelles,SYC
197,Sierra Leone,SLE
198,Singapore,SGP
199,Slovakia,SVK
200,Slovenia,SVN
201,Solomon Islands,SLB
202,Somalia,SOM
203,South Africa,ZAF
204,South Georgia and the South Sandwich Islands,SGS
205,Spain,ESP
206,Sri Lanka,LKA
207,Sudan,SDN
208,Suriname,SUR
209,Svalbard and Jan Mayen,SJM
210,Swaziland,SWZ
211,Sweden,SWE
212,Switzerland,CHE
213,Syrian Arab Republic,SYR
214,"Taiwan, Province of China",TWN
215,Tajikistan,TJK
216,"Tanzania, United Republic of",TZA
217,Thailand,THA
218,Timor-Leste,TLS
219,Togo,TGO
220,Tokelau,TKL
221,Tonga,TON
222,Trinidad and Tobago,TTO
223,Tunisia,TUN
224,Turkey,TUR
225,Turkmenistan,TKM
226,Turks and Caicos Islands,TCA
227,Tuvalu,TUV
228,Uganda,UGA
229,Ukraine,UKR
230,United Arab Emirates,ARE
231,United Kingdom,GBR
232,United States,USA
233,United States Minor Outlying Islands,UMI
234,Uruguay,URY
235,Uzbekistan,UZB
236,Vanuatu,VUT
237,"Venezuela, Bolivarian Republic of",VEN
238,Viet Nam,VNM
239,"Virgin Islands, British",VGB
240,"Virgin Islands, U.S.",VIR
241,Wallis and Futuna,WLF
242,Western Sahara,ESH
243,Yemen,YEM
244,Zambia,ZMB
245,Zimbabwe,ZWE
