"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","POVERTY","TOT","RT","A","2020",0.128,
"SVK","POVERTY","TOT","RT","A","2018",0.077,
"SVK","POVERTY","TOT","RT","A","2019",0.078,
"ESP","POVERTY","TOT","RT","A","2018",0.142,
"ESP","POVERTY","TOT","RT","A","2019",0.147,
"ESP","POVERTY","TOT","RT","A","2020",0.154,
"SWE","POVERTY","TOT","RT","A","2018",0.087,
"SWE","POVERTY","TOT","RT","A","2019",0.091,
"SWE","POVERTY","TOT","RT","A","2020",0.088,
"SWE","POVERTY","TOT","RT","A","2021",0.092,
"CHE","POVERTY","TOT","RT","A","2018",0.105,
"CHE","POVERTY","TOT","RT","A","2019",0.099,
"TUR","POVERTY","TOT","RT","A","2018",0.144,
"TUR","POVERTY","TOT","RT","A","2019",0.15,
"GBR","POVERTY","TOT","RT","A","2018",0.117,
"GBR","POVERTY","TOT","RT","A","2019",0.124,
"GBR","POVERTY","TOT","RT","A","2020",0.112,
"USA","POVERTY","TOT","RT","A","2018",0.181,
"USA","POVERTY","TOT","RT","A","2019",0.18,
"USA","POVERTY","TOT","RT","A","2020",0.164,
"USA","POVERTY","TOT","RT","A","2021",0.151,"P"
"EST","POVERTY","TOT","RT","A","2018",0.163,
"EST","POVERTY","TOT","RT","A","2019",0.149,
"EST","POVERTY","TOT","RT","A","2020",0.158,
"ISR","POVERTY","TOT","RT","A","2018",0.169,
"ISR","POVERTY","TOT","RT","A","2019",0.173,
"ISR","POVERTY","TOT","RT","A","2020",0.169,
"SVN","POVERTY","TOT","RT","A","2018",0.075,
"SVN","POVERTY","TOT","RT","A","2019",0.074,
"SVN","POVERTY","TOT","RT","A","2020",0.07,
"JPN","POVERTY","TOT","RT","A","2018",0.157,
"LVA","POVERTY","TOT","RT","A","2018",0.175,
"LVA","POVERTY","TOT","RT","A","2019",0.162,
"LVA","POVERTY","TOT","RT","A","2020",0.169,
"LVA","POVERTY","TOT","RT","A","2021",0.16,"P"
"LTU","POVERTY","TOT","RT","A","2018",0.155,
"LTU","POVERTY","TOT","RT","A","2019",0.154,
"LTU","POVERTY","TOT","RT","A","2020",0.141,
"CRI","POVERTY","TOT","RT","A","2018",0.209,
"CRI","POVERTY","TOT","RT","A","2019",0.199,
"CRI","POVERTY","TOT","RT","A","2020",0.205,
"CRI","POVERTY","TOT","RT","A","2021",0.203,
"BGR","POVERTY","TOT","RT","A","2018",0.167,
"BGR","POVERTY","TOT","RT","A","2019",0.176,
"BGR","POVERTY","TOT","RT","A","2020",0.158,
"ROU","POVERTY","TOT","RT","A","2018",0.174,
"ROU","POVERTY","TOT","RT","A","2019",0.17,
"ROU","POVERTY","TOT","RT","A","2020",0.175,
"HRV","POVERTY","TOT","RT","A","2018",0.13,
"HRV","POVERTY","TOT","RT","A","2019",0.133,
"HRV","POVERTY","TOT","RT","A","2020",0.131,
